
joy , During the period of falling in love 
danger , When I was deputy manager during the Summer 
sadness , When I realized that my girlfriend 
disgust , Dog dirt which thaws in the spring. 
shame , When I forgot my mother's birthday. 
guilt ,  Can not think of anything just now. 
joy , Passed the last exam. 
fear , Was nearly knocked down by a car. 
danger , I reached the bus stop and realized that I had forgotten my bus dpass. 
sadness , My current work load is too much. 
disgust ,  Can not think of any situation. 
shame ,  No response. 
guilt ,  No response. 
joy , When my one year old son gives me a spontaneous kiss. 
fear , When someone close to me is travelling by car and is delayed. 
danger , When someone does something wrong which affects me negatively. 
sadness , When I think about my parents getting old. 
disgust ,  Can not remember. 
shame ,  No response. 
guilt , I do not have the time for other people's problems. 
  My dmother-in-law is sometimes depressed and I do not have the time ,  dthe desire or the strength to help. 
joy , An ex-colleague asked me if I was interested in working in their daccounts bureau. 
fear , I was driving and a deer suddenly appeared in front of the dcar when there was a lot of traffic behind me. 
danger , I saw a report on T. 
 sadness ,  No response. 
disgust ,  No response. 
shame ,  No response. 
guilt ,  No response. 
joy , When my girlfriend became pregnant. 
fear , When I nearly collided with another car. 
danger , The time when someone let the air out of the tyres of my cycle. 
sadness , When I read a lot and did not remember anything. 
disgust ,  No response. 
shame ,  No response. 
guilt , The time that I had to put my dog to sleep. 
joy ,  No response. 
fear ,  No response. 
danger ,  No response. 
sadness , Long illness. 
joy , When I passed an exam. 
fear , When I was travelling by tram 
danger , When I missed the tram after having run for it. 
sadness , The inability to read a book at college. 
disgust , If a guy one is not interested in makes advances. 
shame , I drink wine too often. 
guilt , I do not study enough as I do not understand it properly. 
joy , I worked at a lawyer's office during Summer and I got a very dgood reference from him. 
fear , I had been watching a triller a dark night in the country and I dhad to go the outside toilet on my own. 
 danger , When I am accused of something I have not done 
sadness , When I began to read a thick book 
disgust , Someone vomited on the street. 
shame , I can not think of any incident when I have felt very ashamed. 
  dThere are small incidents that I am ashamed of ,  for instance 
guilt , I had lunch with my ex-boyfriend and did not mention it to my dfiancee. 
joy , When I was finally qualified for my profession. 
fear , Someone attacked me with a knife. 
danger , Someone drove into my car and then denied that it had happened. 
sadness , When I was told that my friend's wife had cancer. 
disgust , When I saw a dog which had been knocked down by a car. 
shame , When I boxed my child's ears. 
guilt , When I was fined for speeding. 
joy , I stopped working had a boring job. 
fear , I was going home by car late one night when it was cold 
danger , Quarrel in the family. 
sadness , When I am alone in a room with no contact with anyone - dloneliness drains me. 
disgust , When I was on holiday someone vomited in front of me. 
shame , Emptied a bucket of water in a hospital. 
guilt , When I feigned sick leave from work. 
joy , When I get a hug from someone I love. 
fear , I was driving very fast on a small road and I met an oncoming car din a right handed bend. 
danger , My car had been towed away by the traffic police because it had dbeen wrongly parked. 
sadness , After an operation I had to stay in bed for a long time. 
disgust , I was forced to stay in the canteen and eat the food that I had dnot asked for but got it anyway. 
shame , When I did not buy what I had promised to. 
guilt , By mistake I took a book from the library which was not supposed to be loaned out. 
joy , When I won an unexpected sum of money. 
fear , My 2 year old daughter disappeared in a moment of inattention; I dwas responsible for her. 
danger , A colleague asked me for some advice and as he did not have denough confidence in me he asked a third person. 
sadness , I wanted to be pregnant and did not succeed 
disgust , In a warm bus full of people 
shame , I complained about a colleague's behaviour as she goes back on dher word 
guilt , I spoke to my mother on the phone. 
 joy , When I was at a party I met an old friend from an adult deducation course. 
fear , When I was cycling through the park late one night 
danger , When close relatives tried to dissuade me from studying dPsychology because of its low status. 
sadness , I had a long discussion on politics with an acquaintance. 
disgust , When I read a newspaper article on a young girl who had been draped and assaulted one night by several men when she was unconscious. 
shame , My mother revealed personal details about me and the dnegative aspects of my character to other people when I was dpresent but unable to defend myself. 
guilt , I was unfaithful to my partner once when he was working abroad for a long period. 
joy , When I recently got an appartment in central Gottenburg. 
fear , When I saw a large spider crawling up the wall. 
danger , My employer took too many aspirins for a bad back and also drank dan enormous amount of spirit. 
sadness , When I left New York 
disgust , When I slept with a guy because my best friend wanted me to. 
shame , When I dated a close girlfriend's boyfriend a few times. 
guilt , When I broke off with my boyfriend after three years. 
  It was dquite unexpected for him and there was no particular reason for dthe break up ,  such as someone else. 
joy , When my son returned from mountaineering - healthy in body and dsoul. 
fear , When one meets new people with whom one is forced to collaborate dwith. 
danger , The sports fishermen who catch gulls instead of fish with their hooks. 
sadness , I feel sad about an event I can not influence. 
disgust , When a member of the family complains about the food that is dserved 
shame ,  Cannot recall any incident when I felt shame. 
guilt , I have chosen to put my son in a private school were the dexamination marks are low. 
joy , When I was informed that I had been accepted as a student of dPsychology. 
fear , When I was in a little fishing boat and we ran into hard weather din the open sea. 
danger , When I found out that the guy I was dating at a particular time dhad a steady relationship going on with someone else for a long dtime. 
sadness , I felt sad and depressed when I heard that our cat had died. 
disgust , When I was working as a nurse in a mental hospital 
shame , At primary school 
guilt , I arrived an hour late for an important meeting  I had dmisunderstood the time. 
joy , When I was acceptted as a student of psychology. 
fear , When my son has a pain in his leg for no apparent reason. 
  danger , When 
sadness , When I thought that it was going to be impossible for me to start dstudying due to wrong information from the student advisor. 
disgust , At a certain person's lack of cleanliness 
shame , When I made the same mistake that I had accused someone else of 
guilt , When I lost something that was valuable to my sister. 
joy , When my son was born. 
fear , When I nearly drowned in icy water wearing ice skates. 
danger , When I was pointed out as a problem child in primary school and dmy mother took the teacher's point of view. 
sadness , When I was accused of neglecting work for the wrong reasons. 
disgust , My parents attitude towards each other when they should become dreconciled 
shame , When I was caught stealing money from my father. 
guilt , I stole a coconut cake from a reception table and when I put din my mouth I realized that the host was watching me. 
joy , When after 10 months of national service I was downgraded and ddid not have to do the remaining 5 months. 
fear , When I was reprimanded by the manager of the hotel where I dworked during Autumn 1984. 
danger , When my parents drove me to a nearby place and went home dimmediately instead of waiting a few hours. 
sadness , When my ex-girlfriend and I discovered that there was a certain risk dof her being pregnant. 
disgust , When I was about to clean the draining board and saw it looked dunderneath the sink I live in a students hostel. 
shame , When my mother caught me masturbating. 
guilt , As the only person in my family into academics 
joy , When my older sister told us that she was thinking of joining the drest of the family for the winter sports holiday. 
fear , Slept in a chapel and in the middle of the night I realized that dthere was someeone else in the chapel. 
danger , When we were in high school a few guys sometimes provoked a dfriend of mine. 
  Once ,  one of the girls got angry at dmy friend and said something nasty and this made me terribly dangry. 
sadness , I talked to my boyfriend on the phone when I was in high spirits dand had a lot to tell him. 
disgust , A mother who shouts at her child for nothing. 
shame , When I complained to my mother about how untidy the kitchen dloooked 
guilt , As I could not be home before midnight I called home at 11. 
  My dmother could not go back to sleep ,  besides she had a conference   dthe next day and really needed to sleep. 
joy , When I got through the first day here at the department. 
fear , When I was cycling past a parked car someone opened the door and dnearly pushed me off my bike and into the traffic. 
danger , When my boyfriend sat up half the night playing computer games dwith a friend. 
sadness , When I had to leave my mother and my sister after a week's visit. 
disgust , When I saw a big spider from very close. 
shame , When I asked a friend to return the money that I had loaned her dand then remembered that she had repayed me in several ways. 
guilt , When one of my parents insinuates something about the other dthey are divorced. 
joy , When i was asked to be a child's godmother. 
fear , On the way down a ski slope which was difficult and steep. 
danger , When my mother interfered in my life. 
sadness , When I was left alone one week-end without being prepared for dit. 
disgust , The first time that I saw a surgeon cut off a leg and put it in a dblack rubbish bag. 
shame , When I forgot about a meeting at work. 
guilt , When I demand too much from my friends. 
joy , When my husband suddenly came to see me at my new job and dbrought some flowers and cake with him. 
fear , When I was nearly attackad by a man who had been chasing me. 
danger , When my father asked me if I was a communist 
sadness , When I applied for a job which I thought I had a good chance of dgetting 
disgust , T. 
shame , When I as a child of 9 or 10 I was playing doctor with the dneighbours boys their mother caught us. 
guilt , When my husband talked about the restrictions he will have to daccept in his life to make our marriage work. 
joy , When we were able to afford a new sofa - a leather one which cost dSEK 20000. 
fear , Vertigo - standing on a ladder and painting the house. 
danger , When my boss enrolled in a course to satisfy his own ends - to dtrample on his associates. 
sadness , When I argue with my mother about the way she treats her two dchildren differently. 
disgust , Spit and vomit. 
shame , Spots on the seat covers of my husband's car. 
guilt , Not speaking to my sister-in-law due to lack of interest in a drelationship on my side. 
joy , When I recently managed to get my first consulting assignment dmyself i. 
fear , I was within a hair's breadth of knocking down a drunkard who dsuddenly ran into the street. 
danger , When my friend 
sadness , The elections of 1982 and 1985. 
  The thought of what a social ddemocrat and communist majority could achieve ,  especially worker dshare funds and its extension. 
disgust , A study visit to a chicken factory : the butchery 
shame , Confession to my parents about my involvement in a moped theft. 
guilt ,  No answer as I see very little difference between shame and guilt. 
joy , When I was appointed to position of trust in a group set up to dchange the working environment. 
fear , I was alone in a cottage I often stay in. 
danger , When I tried to explain to a plumber 
sadness , When the result of a project work was treated nonchalantly dintead of being criticized by the teacher. 
disgust , When programmes on violence or pornography are shown on T. 
shame , When I talked maliciously about a colleague at work to someone delse. 
guilt , When I decided to take a week s holiday without consulting the dfamily first. 
joy , After my girl and I talked things over our relationship changed dand became positive. 
fear , When we could not land our plane and we knew that the fuel was drunning out. 
danger , When I read about Reagan's tactical decision concerning the dSouth African boycott. 
sadness , When my half brother became seriously ill with cancer and died dlater. 
disgust , A film were a woman was attacked and raped. 
shame , I made a comment and it was interpreted completely differently dfrom what I had meant. 
guilt , I had promised to visit my girlfriend but for different reasons dcould not make it. 
joy , When I was offered a high position of trust 
fear , I had the window open and the door was shut so that the kitten dwould not go out. 
danger , Some noisy guests arrived at the hotel. 
sadness , When I was told that I had not been successful in getting the job I dhad been expecting. 
disgust , When my cat vomited and a worm came out which was still alive. 
shame , When I was a child it was found out that I had taken off my dclothes outdoors. 
guilt , When I stole money from my mother and she asked me later if I was responsible. 
joy ,  Cycling in the spring sunshine gives me such delight. 
  dHappiness is to be healthy ,  my wonderful finance. 
fear , When my relationship with my family is very poor I often fear dbeing excluded from the group 
danger , Recently when my sister 
sadness , When I watched the T. 
disgust , Disgust is a feeling that I have never experienced with peoplie dbut  
shame , When relatives have acted strangely 
guilt , When  
joy , On a boat trip to Denmark 
fear , A rainy day 
danger , On the way home from Marstrand I was driving behind my father's dcar. 
sadness , My girlfriend who had spent 6 months abroad broke off our drelationship by letter. 
disgust , At the police centre a man between 40-50 was brought in. 
shame , A customer at the shop where I worked came in and asked if the dgoods that he had ordered had arrived. 
guilt , I was 4-5 years old when I hid the bicycle keys of a not very dgood friend. 
joy , When I was at the end-of-term party last week and had fun - was dhappy and sang and drank only soft drinks. 
fear , Last Summer I was walking along the beach in a bikini and an dawful man came cycling after me. 
danger , In a course I thought that I deserved good marks but I only got dordinary marks with no justification as to why I was given these dmarks. 
sadness , When I crashed my car and it had to be scrapped then. 
disgust , I had some sort of a stomach virus last week and  I vomited in dcollege in the morning 
shame , When I was an evening school teacher it was my job to make the dcoffee but I was not able to get the coffee ready on time and I dthus arrived half an hour late to the class. 
guilt , Many years ago a friend wanted me to with her to southern Europe dand I preferred to travel alone. 
joy , When I felt that my love was returned. 
fear , When I was convinced that someonne had broken into my flat and I dwoke up and heard sounds that frightened me. 
danger , When it became clear that a man had used many people sexually dand psychologically 
sadness , When I feel helpless after having tried to help someone without dany result. 
disgust , When I think now about the way my father behaved when filing a ddivorce. 
shame , When as an 8 year old 
guilt , When as a 7 year old 
joy , When I recently got a very positive answer from a clinic telling dme that they would willingly assist and collect data for me for a dclinical pilot study. 
fear , Every time I meet a certain dog that has once bitten me. 
danger , When after a lot of provocation my child threw a plate on the dfloor. 
sadness , When I realized that I could not communicate properly with my dclosest friend. 
disgust , When I tried to explain to my child as to why there were dmagazines wiith naked girls on them at the kiosk. 
shame , When I stole a packet of cigarettes from a neighbour  and the dnext day I owned up and returned it. 
guilt , When I was forced to decline the invitation to my mother's 70th dbirthday because of my work committments in another area. 
joy , When I began dansing 
 fear , A late Saturday night I found myself locked in the central dunderground station of Stockholm with a group of 50 hard rockers dwho were drunk and equipped with various kinds of chains 
danger , When I was forced to call the telephone company about a bill dconcerning a disconnected phone belonging to my landlord. 
  The dbill was four months overdue and in the meanwhile he had been dusing my phone ,  he seemed to have no intention of having his own dphone reconnected. 
sadness , Whenever I read or think about the way people treat animals and dnature. 
disgust , When I saw a T. 
shame , When I was 13 years old I wrote passionate love letters to my dboyfriend and I later found out that his sister had read them. 
guilt , When I hated one of mmy flatmates who was nice to me. 
joy , When my 6 month old son is happy and well. 
fear , A four year girl ran away from her father straight in front of my dcar. 
danger ,  After an examine I had been satisfied with. 
sadness , When a colleague failed to contact me at the arranged time. 
disgust , When I read racist slogans on the walls. 
shame , About Sweden's arms exports. 
guilt , Not doing something I had promised. 
joy , When I gave birth to a healthy boy. 
fear , When my husband and I spent a night by ourselves in a house which dwas in an area on the outskirts of a large town with which we were not familiar. 
danger , Jealous of my husband's old girlfriend. 
sadness , When my daughter had problems with her friends and I could see dher predicament from the window. 
disgust , When I was an auxiliary nurse at the hospital and I had to change dthe nappies 
shame , When friends found out that I had been lying about where I had dbeen on a particular occasion. 
guilt , When my middle child became very difficult to handle after the dbirth of his baby brother and I did not have any patience with dhim. 
joy , When my husband and I decided to take a few days holiday after a dparticularly trying period. 
fear , Before a hospital visit prior to a D&C under anasthesia for an dexpected miscarriage. 
danger , Exchange of points of view with my sister on a family matter. 
sadness , Treatment to become pregnant with a negative result. 
disgust , When I woke up one morning and went to the kitchen I discovered dthat our dog had diarrhoea. 
shame , When I was young 
guilt , At work a boy was injured because of my lack of supervision. 
joy , When I gave birth to a child and saw that it was normal when it dwas put against my breast. 
fear , During labour when the foetal sounds became faint and there was a dbig alert for a forceps delivery. 
danger , At a cash desk where I had gone to buy 16 rolls of kitchen paper dat a reduced price. 
sadness , When I first heard that Tage Dannielsson had died. 
disgust , The lift of Stockholm central station stank of vomit and urine. 
shame , On the train a drunk person touched my baby and I reacted very ddisapprovingly. 
guilt , I get irritated with my son when he screams or is sick all over dhis clean clothes. 
joy , The high school entrance exam. 
fear , A gang of screaming and drunk youths captured a tram. 
danger , An unjust refree decision at a sports event when I was the team dleader. 
sadness , When my girlfriend left me. 
disgust , I was dominated by a certain person and even though I knew it I dcould not change my own reactions. 
shame , When I was given detention at secondary school. 
guilt , When I splashed a child by not slowing down while driving dthrough a puddle of water. 
joy , Yesterday 
fear , I was teaching someone to drive and when we were about to crash I dwas scared. 
danger , A drummer who had borrowed my drums destroyed both the drumskin dand the sticks. 
sadness , When my dad gives priority to my kid brother's band and his dother activities. 
disgust , A friend unjustly put the blame on me to relieve his conscience dand also spread lies for the same purpose. 
shame , My behaviour at a recent party. 
  I passed out early ,  luckily. 
guilt , When I was face to face with my deceived friend after sleeping dwith his wife. 
joy , When I dived among sharks and the brightly coloured fish on the douter reef of Tvavni 
fear , When I missed crashing 
danger , When I told off a computer teacher who did not want to teach me dbeacause of prejudice. 
sadness , When I could not do anything because of a bad back. 
disgust , When I discovered that the house we had hired in Tonga was full dof cockroaches. 
shame , When I excreted on the mat instead of the potty. 
guilt , When I pulled a chair from under someone at kindergarten and he dhit his head. 
joy , When I passed the driving test three weeks ago and got my dlicence. 
fear , When the car I was driving skidded on an icy road and landed in   da ditch with one side against a rock. 
danger ,  No response. 
sadness ,  No response. 
disgust ,  No response. 
shame ,  No response. 
guilt ,  No response. 
joy , When I met friends I had not seen for the last 2-4 years. 
fear , When a guy chased me when I was out jogging. 
danger ,  No response. 
sadness ,  No reponse. 
disgust ,  No response. 
shame ,  No response. 
guilt ,  No response. 
joy ,  No response. 
fear ,  No response. 
danger , When the morning newspaper has not arrived. 
sadness ,  No response. 
disgust ,  No response. 
disgust ,  No response. 
shame ,  No response. 
guilt ,  No response. 
joy , I feel unbelievably happy about the relationship between my dboyfriend and me 
fear , A reoccurring fear that something will happen to my relatives. 
danger , When I argue with my boyfriend 
sadness , When I failed an exam last Summer. 
disgust ,  No response. 
shame ,  No response. 
guilt , When I argue with my sister. 
joy , I was very happy when I got an attractive Summer job. 
joy , The birth of my child. 
fear , When I have to leave the baby in the carriage and go shopping 
danger , When during Winter the water pipes froze and we did not have any dwater for two days. 
sadness , I did not quite succeed in breast feeding my baby. 
disgust ,  The smell of garlic in rush-hour bus. 
shame , I fell on the ground while crossing the street. 
guilt , I have a two-month old baby. 
  When I came here ,  to the duniversity 
joy , During the Christmas holidays 
